Time,Code,Type,Price,Qty,PnL,ProfitRate(%)
2026-03-18 09:00:00,000250,BUY,752112.8,1,0.0,0.00
2026-03-18 09:08:00,000250,SELL,753886.9,1,190.9,0.03
2026-04-09 09:37:00,030190,BUY,15152.3,66,0.0,0.00
2026-04-13 09:04:00,030190,SELL,14867.8,66,-20837.9,-2.08
2026-03-12 09:26:00,033640,BUY,16912.5,59,0.0,0.00
2026-03-12 10:05:00,033640,SELL,16597.5,59,-20643.0,-2.06
2026-03-12 11:35:00,033640,BUY,16552.5,60,0.0,0.00
2026-03-12 14:44:00,033640,SELL,16777.5,60,11386.1,1.14
2026-03-16 10:48:00,033640,BUY,16532.5,60,0.0,0.00
2026-03-16 10:50:00,033640,BUY,16522.5,60,0.0,0.00
2026-03-16 10:58:00,033640,BUY,16582.5,60,0.0,0.00
2026-03-16 13:48:00,033640,SELL,16587.5,180,1235.3,0.04
2026-04-02 13:16:00,033640,BUY,18642.8,53,0.0,0.00
2026-04-02 14:09:00,033640,SELL,18647.2,53,-1841.9,-0.19
2026-03-11 15:05:00,041510,BUY,99414.9,10,0.0,0.00
2026-03-12 09:04:00,041510,SELL,99885.0,10,2603.5,0.26
2026-03-12 12:18:00,041510,BUY,97914.7,10,0.0,0.00
2026-03-12 12:19:00,041510,BUY,97914.7,10,0.0,0.00
2026-03-12 14:45:00,041510,SELL,99385.1,20,25233.9,1.29
2026-03-16 11:52:00,042700,BUY,291543.7,3,0.0,0.00
2026-03-16 12:44:00,042700,SELL,295955.6,3,11371.1,1.30
2026-03-24 10:21:00,042700,BUY,294544.2,3,0.0,0.00
2026-03-24 10:35:00,042700,BUY,295044.2,3,0.0,0.00
2026-03-24 10:55:00,042700,SELL,289456.6,6,-35673.0,-2.01
2026-03-12 09:03:00,056080,BUY,30004.5,33,0.0,0.00
2026-03-12 09:10:00,056080,SELL,29395.6,33,-22131.1,-2.23
2026-03-16 09:48:00,056080,BUY,27804.2,35,0.0,0.00
2026-03-17 09:04:00,056080,SELL,28195.8,35,11633.6,1.19
2026-03-27 09:53:00,056080,BUY,25003.8,39,0.0,0.00
2026-03-27 09:58:00,056080,BUY,25003.8,39,0.0,0.00
2026-03-27 10:23:00,056080,SELL,25396.2,78,26450.4,1.35
2026-04-02 14:27:00,056080,BUY,24303.6,41,0.0,0.00
2026-04-02 15:04:00,056080,SELL,23796.4,41,-22844.7,-2.29
2026-03-27 10:01:00,058470,BUY,100915.1,9,0.0,0.00
2026-03-27 10:02:00,058470,BUY,100915.1,9,0.0,0.00
2026-03-27 10:32:00,058470,SELL,102184.7,18,18989.0,1.04
2026-03-27 11:02:00,058470,BUY,101915.3,9,0.0,0.00
2026-03-27 11:03:00,058470,BUY,102015.3,9,0.0,0.00
