date_idx,open,high,low,close,volume
2026-03-16 09:00:00,68100,69300,57500,59200,446018
2026-03-16 09:01:00,59400,63100,58700,62500,181062
2026-03-16 09:02:00,62500,64700,62400,63600,154478
2026-03-16 09:03:00,63600,64700,61400,62100,100469
2026-03-16 09:04:00,62100,62500,58000,58300,100930
2026-03-16 09:05:00,58500,59900,56800,59500,120193
2026-03-16 09:06:00,59500,61100,59200,60900,114500
2026-03-16 09:07:00,60900,61300,59900,60200,84625
2026-03-16 09:08:00,60200,60400,57200,58900,88080
2026-03-16 09:09:00,59000,60200,58900,59400,60607
2026-03-16 09:10:00,59400,59900,58000,59700,45104
2026-03-16 09:11:00,59800,60400,59000,59300,66226
2026-03-16 09:12:00,59300,60000,59100,59900,28199
2026-03-16 09:13:00,59900,60500,58000,58900,110921
2026-03-16 09:14:00,58700,59300,58400,58600,30340
2026-03-16 09:15:00,58600,58800,57500,58000,59827
2026-03-16 09:16:00,58000,58600,57700,57900,38959
2026-03-16 09:17:00,57800,58300,57800,57800,41723
2026-03-16 09:18:00,58000,58400,57800,58300,19679
2026-03-16 09:19:00,58400,59800,58300,59500,77353
2026-03-16 09:20:00,59500,60000,59300,59600,43178
2026-03-16 09:21:00,59500,59800,59500,59700,23765
2026-03-16 09:22:00,59700,59700,58300,58700,33927
2026-03-16 09:23:00,58700,58800,58000,58100,32764
2026-03-16 09:24:00,58100,58700,57900,58400,34563
2026-03-16 09:25:00,58400,59500,58400,59200,31261
2026-03-16 09:26:00,59200,59400,58500,59000,22269
2026-03-16 09:27:00,59000,59500,58900,59500,22453
2026-03-16 09:28:00,59500,59500,58500,58500,22416
2026-03-16 09:29:00,58500,58800,58200,58200,23798
2026-03-16 09:30:00,58200,58500,57200,58300,63911
2026-03-16 09:31:00,58200,58300,57300,57700,32380
2026-03-16 09:32:00,57700,58200,57500,58100,22162
2026-03-16 09:33:00,58200,58300,57700,57800,21860
2026-03-16 09:34:00,57700,57700,57000,57200,44426
2026-03-16 09:35:00,57100,57200,55600,56100,106286
2026-03-16 09:36:00,56100,56300,55400,55600,45877
2026-03-16 09:37:00,55700,55900,55200,55900,44533
2026-03-16 09:38:00,55900,56500,55800,56400,48672
2026-03-16 09:39:00,56500,56700,56100,56200,31100
2026-03-16 09:40:00,56100,56800,56100,56700,17947
2026-03-16 09:41:00,56700,57200,56400,57000,50497
2026-03-16 09:42:00,56900,57000,55600,55700,31705
2026-03-16 09:43:00,55800,56100,55600,55700,20978
2026-03-16 09:44:00,55700,55700,54600,54700,73960
2026-03-16 09:45:00,54700,54900,54300,54900,52307
2026-03-16 09:46:00,54800,55200,54100,54100,38395
2026-03-16 09:47:00,54150,55200,54000,54800,36031
2026-03-16 09:48:00,54800,54900,54300,54600,16938
2026-03-16 09:49:00,54600,55000,53900,55000,41737
2026-03-16 09:50:00,54900,55750,54500,55700,56499
2026-03-16 09:51:00,55700,55800,54400,54400,34914
2026-03-16 09:52:00,54400,54700,53100,53400,52269
2026-03-16 09:53:00,53300,53900,53100,53800,47141
2026-03-16 09:54:00,53800,54300,53200,53200,39089
2026-03-16 09:55:00,53300,53700,53100,53600,21773
2026-03-16 09:56:00,53600,53800,52600,53200,42651
2026-03-16 09:57:00,53200,54000,53100,53400,29102
2026-03-16 09:58:00,53400,53900,53000,53100,17066
2026-03-16 09:59:00,53100,53600,53000,53100,15190
2026-03-16 10:00:00,53200,53300,51900,52600,65522
2026-03-16 10:01:00,52700,52700,51800,52100,40118
2026-03-16 10:02:00,52200,52800,52000,52600,24196
2026-03-16 10:03:00,52700,52700,51700,51700,20540
2026-03-16 10:04:00,51700,52000,51200,51500,62549
2026-03-16 10:05:00,51300,51500,50800,51300,56208
2026-03-16 10:06:00,51300,51300,50300,50800,61384
2026-03-16 10:07:00,50700,51300,50600,50900,28448
2026-03-16 10:08:00,51000,51400,50700,50800,26106
2026-03-16 10:09:00,50700,51000,50200,50500,34130
2026-03-16 10:10:00,50500,51500,50400,51500,35784
2026-03-16 10:11:00,51500,51600,50600,51200,28701
2026-03-16 10:12:00,51200,51300,50000,50600,68052
2026-03-16 10:13:00,50600,51800,50500,51800,53284
2026-03-16 10:14:00,51800,52800,51400,52400,90316
2026-03-16 10:15:00,52300,54000,52200,53300,121277
2026-03-16 10:16:00,53300,54600,53200,54300,89271
2026-03-16 10:17:00,54400,55000,53800,54600,106343
2026-03-16 10:18:00,54600,55200,53500,54500,84922
2026-03-16 10:19:00,54400,54600,53500,54100,28979
2026-03-16 10:20:00,54100,56400,54000,56200,125726
2026-03-16 10:21:00,56300,58200,56200,57900,152575
2026-03-16 10:22:00,57900,58700,57300,57300,130815
2026-03-16 10:23:00,57400,58800,56800,58500,99850
2026-03-16 10:24:00,58500,59100,57400,58100,93567
2026-03-16 10:25:00,58200,59500,57600,59000,72515
2026-03-16 10:26:00,59000,61100,58600,60500,200820
2026-03-16 10:27:00,60600,62700,60500,61500,215407
2026-03-16 10:28:00,61500,62500,59600,59900,144208
2026-03-16 10:29:00,60000,60900,59300,60100,97388
2026-03-16 10:30:00,60200,61500,59300,59800,107416
2026-03-16 10:31:00,59700,59800,58200,59100,100392
2026-03-16 10:32:00,59100,60900,59000,59700,101047
2026-03-16 10:33:00,59700,60800,59000,59400,67836
2026-03-16 10:34:00,59400,60200,58800,59300,51291
2026-03-16 10:35:00,59200,60000,57500,58100,109546
2026-03-16 10:36:00,58100,58200,56900,57500,110975
2026-03-16 10:37:00,57400,58800,56500,57800,102462
2026-03-16 10:38:00,57800,58700,57800,57900,64848
2026-03-16 10:39:00,57900,58900,57900,58400,51857
2026-03-16 10:40:00,58500,59400,58500,59000,59720
2026-03-16 10:41:00,59000,59400,58500,59000,39098
2026-03-16 10:42:00,59000,59600,58000,58500,60642
2026-03-16 10:43:00,58500,58800,57400,58000,46647
2026-03-16 10:44:00,58100,58900,57900,58400,21581
2026-03-16 10:45:00,58500,59000,57600,57600,37182
2026-03-16 10:46:00,57600,58300,57400,57600,30135
2026-03-16 10:47:00,57600,57800,56800,57200,55004
2026-03-16 10:48:00,57300,58200,57100,57800,48818
2026-03-16 10:49:00,57900,58200,57700,58100,15471
2026-03-16 10:50:00,58100,58600,57400,58100,30332
2026-03-16 10:51:00,58100,58300,57700,58000,12107
2026-03-16 10:52:00,58000,59000,57900,58600,47599
2026-03-16 10:53:00,58700,59100,58300,58600,34512
2026-03-16 10:54:00,58500,58600,57600,58100,23756
2026-03-16 10:55:00,58100,58400,57400,58000,24826
2026-03-16 10:56:00,58400,58400,57800,58100,10945
2026-03-16 10:57:00,58200,58500,58000,58100,13206
2026-03-16 10:58:00,58000,58200,57700,57700,8930
2026-03-16 10:59:00,57700,58100,57700,57900,9527
2026-03-16 11:00:00,57800,58000,57800,57800,6001
2026-03-16 11:01:00,57800,57900,55200,55900,102904
2026-03-16 11:02:00,56000,56000,54300,54900,111189
2026-03-16 11:03:00,54900,55200,53600,54100,70069
2026-03-16 11:04:00,54000,54400,53600,54100,68638
2026-03-16 11:05:00,54000,55300,54000,55200,62793
2026-03-16 11:06:00,55100,56600,55100,56500,61266
2026-03-16 11:07:00,56600,57300,56500,57200,53848
2026-03-16 11:08:00,57300,58900,57200,58200,84144
2026-03-16 11:09:00,58100,58800,57600,57600,70643
2026-03-16 11:10:00,57650,58300,56900,57200,51198
2026-03-16 11:11:00,57300,58200,57300,57700,25286
2026-03-16 11:12:00,57700,58300,57500,57900,29949
2026-03-16 11:13:00,57900,58300,57300,58100,31464
2026-03-16 11:14:00,58200,59900,58100,59400,121084
2026-03-16 11:15:00,59500,59500,58600,59000,41741
2026-03-16 11:16:00,59000,59500,58600,59400,29828
2026-03-16 11:17:00,59400,59900,58700,59800,49854
2026-03-16 11:18:00,59800,60600,59700,60300,112158
2026-03-16 11:19:00,60300,61000,60200,60600,101098
2026-03-16 11:20:00,60600,61200,59500,60100,101418
2026-03-16 11:21:00,60100,60200,59100,59500,56641
2026-03-16 11:22:00,59500,59800,58900,59550,41437
2026-03-16 11:23:00,59550,60900,59500,60800,61353
2026-03-16 11:24:00,60800,61800,60500,61000,121854
2026-03-16 11:25:00,60900,61400,60000,61100,62226
2026-03-16 11:26:00,61100,63000,61000,62900,205702
2026-03-16 11:27:00,62900,64300,62800,64100,192969
2026-03-16 11:28:00,64100,64200,63400,63550,114941
2026-03-16 11:29:00,63550,63800,62400,63000,113571
2026-03-16 11:30:00,63000,63400,61800,62200,105876
2026-03-16 11:31:00,62200,62400,61100,62400,83366
2026-03-16 11:32:00,62300,62800,60500,61800,105071
2026-03-16 11:33:00,61800,63000,61700,62000,69773
2026-03-16 11:34:00,62000,62700,61800,62100,41426
2026-03-16 11:35:00,62200,63000,62200,62600,50550
2026-03-16 11:36:00,62600,62700,61500,62500,43185
2026-03-16 11:37:00,62400,64400,62400,64200,148601
2026-03-16 11:38:00,64200,64800,63500,63800,125738
2026-03-16 11:39:00,63900,65700,63500,65500,172478
2026-03-16 11:40:00,65500,65700,63400,63600,177230
2026-03-16 11:41:00,63600,64100,63400,63700,63080
2026-03-16 11:42:00,63500,64300,62200,62400,75517
2026-03-16 11:43:00,62500,63000,61900,62500,77689
2026-03-16 11:44:00,62500,63400,62300,63200,42208
2026-03-16 11:45:00,63200,64400,63200,64000,84668
