date_idx,open,high,low,close,volume
2026-02-20 11:29:00,1809,1809,1809,1809,66
2026-02-20 11:30:00,1809,1809,1808,1808,7
2026-02-20 11:35:00,1808,1808,1806,1806,756
2026-02-20 11:36:00,1805,1805,1794,1794,764
2026-02-20 11:39:00,1785,1785,1783,1783,800
2026-02-20 11:41:00,1782,1782,1782,1782,286
2026-02-20 11:42:00,1793,1807,1784,1797,3562
2026-02-20 11:43:00,1796,1798,1784,1798,409
2026-02-20 11:46:00,1797,1797,1797,1797,5
2026-02-20 11:49:00,1784,1797,1784,1797,42
2026-02-20 11:50:00,1797,1797,1797,1797,140
2026-02-20 11:54:00,1797,1797,1797,1797,150
2026-02-20 11:55:00,1797,1797,1797,1797,16
2026-02-20 11:57:00,1797,1798,1784,1798,715
2026-02-20 11:59:00,1798,1798,1798,1798,1
2026-02-20 12:00:00,1790,1790,1790,1790,38
2026-02-20 12:02:00,1797,1797,1797,1797,68
2026-02-20 12:03:00,1798,1798,1798,1798,7
2026-02-20 12:08:00,1795,1795,1790,1790,58
2026-02-20 12:15:00,1797,1798,1797,1798,28
2026-02-20 12:17:00,1798,1798,1798,1798,39
2026-02-20 12:19:00,1798,1798,1798,1798,10
2026-02-20 12:23:00,1797,1797,1793,1793,2
2026-02-20 12:25:00,1793,1798,1793,1798,224
2026-02-20 12:31:00,1798,1800,1798,1800,855
2026-02-20 12:33:00,1809,1809,1809,1809,1
2026-02-20 12:41:00,1807,1807,1807,1807,101
2026-02-20 12:44:00,1808,1808,1805,1805,435
2026-02-20 12:50:00,1805,1805,1790,1790,550
2026-02-20 12:51:00,1791,1791,1791,1791,2300
2026-02-20 12:52:00,1807,1807,1807,1807,2
2026-02-20 12:53:00,1791,1791,1785,1785,56
2026-02-20 12:55:00,1806,1807,1806,1807,35
2026-02-20 12:56:00,1807,1807,1807,1807,11
2026-02-20 13:02:00,1805,1805,1805,1805,5
2026-02-20 13:06:00,1796,1804,1785,1804,1014
2026-02-20 13:10:00,1786,1804,1786,1804,135
2026-02-20 13:12:00,1787,1787,1787,1787,38
2026-02-20 13:13:00,1803,1803,1803,1803,2
2026-02-20 13:21:00,1801,1802,1801,1802,148
2026-02-20 13:25:00,1802,1802,1802,1802,36
2026-02-20 13:26:00,1802,1802,1802,1802,81
2026-02-20 13:33:00,1802,1802,1802,1802,5
2026-02-20 13:35:00,1796,1802,1790,1802,440
2026-02-20 13:36:00,1790,1802,1787,1802,50
2026-02-20 13:37:00,1802,1802,1802,1802,15
2026-02-20 13:38:00,1800,1800,1800,1800,2
2026-02-20 13:43:00,1800,1800,1800,1800,2
2026-02-20 13:48:00,1800,1800,1800,1800,46
2026-02-20 13:53:00,1800,1800,1800,1800,81
2026-02-20 13:54:00,1800,1800,1800,1800,142
2026-02-20 13:55:00,1800,1802,1800,1802,205
2026-02-20 13:56:00,1801,1801,1801,1801,61
2026-02-20 13:57:00,1801,1801,1801,1801,1
2026-02-20 13:58:00,1801,1801,1801,1801,41
2026-02-20 14:04:00,1795,1802,1790,1802,406
2026-02-20 14:05:00,1802,1802,1802,1802,200
2026-02-20 14:06:00,1802,1802,1802,1802,105
2026-02-20 14:09:00,1802,1802,1802,1802,10
2026-02-20 14:11:00,1802,1802,1802,1802,100
2026-02-20 14:18:00,1800,1802,1800,1802,2
2026-02-20 14:27:00,1801,1801,1801,1801,27
2026-02-20 14:35:00,1800,1800,1800,1800,200
2026-02-20 14:36:00,1801,1801,1801,1801,92
2026-02-20 14:40:00,1801,1802,1795,1802,507
2026-02-20 14:41:00,1802,1802,1802,1802,3
2026-02-20 14:43:00,1800,1800,1795,1795,35
