Time,Code,Type,Price,Qty,PnL,ProfitRate(%)
2026-03-12 10:38:00,000660,BUY,953143.0,1,0.0,0.00
2026-03-12 10:39:00,000660,BUY,953143.0,1,0.0,0.00
2026-03-12 10:40:00,000660,BUY,955143.3,1,0.0,0.00
2026-03-12 11:48:00,000660,SELL,935359.7,3,-61242.9,-2.14
2026-03-26 11:43:00,000660,BUY,937140.6,1,0.0,0.00
2026-03-26 12:39:00,000660,SELL,950857.3,1,11720.0,1.25
2026-04-02 15:05:00,000660,BUY,822123.3,1,0.0,0.00
2026-04-02 15:09:00,000660,BUY,829124.4,1,0.0,0.00
2026-04-03 09:01:00,000660,SELL,862870.6,2,70869.4,4.28
2026-03-23 10:26:00,005490,BUY,330049.5,3,0.0,0.00
2026-03-24 09:01:00,005490,SELL,336699.5,3,17828.8,1.80
2026-04-02 13:08:00,005490,BUY,340051.0,2,0.0,0.00
2026-04-02 14:28:00,005490,SELL,340948.8,2,363.7,0.05
2026-04-02 13:12:00,005930,BUY,179376.9,5,0.0,0.00
2026-04-02 13:15:00,005930,BUY,179727.0,5,0.0,0.00
2026-04-02 14:48:00,005930,SELL,176073.6,10,-38481.0,-2.14
2026-03-12 12:08:00,028300,BUY,48307.2,20,0.0,0.00
2026-03-12 12:13:00,028300,BUY,48307.2,20,0.0,0.00
2026-03-12 14:14:00,028300,SELL,49042.6,40,25296.3,1.31
2026-03-26 14:24:00,028300,BUY,50107.5,20,0.0,0.00
2026-03-27 09:34:00,028300,SELL,50892.4,20,13559.5,1.35
2026-04-02 11:54:00,035420,BUY,198729.8,5,0.0,0.00
2026-04-02 14:47:00,035420,SELL,195070.7,5,-20343.6,-2.04
2026-04-02 13:09:00,036930,BUY,61309.2,16,0.0,0.00
2026-04-02 13:10:00,036930,BUY,61409.2,16,0.0,0.00
2026-04-02 14:48:00,036930,SELL,60291.0,32,-38235.5,-1.94
2026-04-03 14:58:00,036930,BUY,62309.3,16,0.0,0.00
2026-04-06 09:01:00,036930,SELL,63290.5,16,13572.0,1.36
2026-03-27 11:28:00,039030,BUY,396559.5,2,0.0,0.00
2026-03-27 11:40:00,039030,BUY,397559.6,2,0.0,0.00
2026-03-27 13:03:00,039030,SELL,404439.3,4,26121.8,1.64
2026-03-16 11:52:00,042700,BUY,291543.7,3,0.0,0.00
2026-03-16 12:44:00,042700,SELL,295955.6,3,11371.1,1.30
2026-03-24 10:21:00,042700,BUY,294544.2,3,0.0,0.00
