date_idx,open,high,low,close,volume
2026-03-23 11:45:00,14570,14570,14560,14570,248
2026-03-23 11:46:00,14560,14560,14550,14550,1703
2026-03-23 11:47:00,14550,14550,14540,14540,600
2026-03-23 11:48:00,14540,14550,14530,14550,423
2026-03-23 11:49:00,14550,14550,14510,14510,1703
2026-03-23 11:50:00,14510,14520,14510,14510,1971
2026-03-23 11:51:00,14520,14550,14510,14530,436
2026-03-23 11:52:00,14545,14560,14540,14560,462
2026-03-23 11:53:00,14560,14560,14520,14530,1213
2026-03-23 11:54:00,14530,14530,14520,14520,205
2026-03-23 11:55:00,14515,14515,14500,14500,2206
2026-03-23 11:56:00,14500,14520,14500,14520,124
2026-03-23 11:57:00,14520,14520,14500,14500,518
2026-03-23 11:58:00,14500,14500,14500,14500,253
2026-03-23 11:59:00,14500,14500,14490,14500,54
2026-03-23 12:00:00,14490,14500,14490,14500,19
2026-03-23 12:01:00,14500,14500,14490,14490,324
2026-03-23 12:02:00,14490,14500,14480,14480,1021
2026-03-23 12:03:00,14500,14500,14490,14490,717
2026-03-23 12:04:00,14490,14490,14490,14490,157
2026-03-23 12:05:00,14490,14490,14450,14470,2567
2026-03-23 12:06:00,14460,14460,14450,14460,255
2026-03-23 12:07:00,14460,14460,14450,14450,171
2026-03-23 12:08:00,14460,14460,14450,14450,1873
2026-03-23 12:09:00,14490,14490,14430,14480,2944
2026-03-23 12:10:00,14480,14480,14460,14460,169
2026-03-23 12:11:00,14460,14460,14450,14450,792
2026-03-23 12:12:00,14450,14460,14450,14450,1227
2026-03-23 12:13:00,14450,14450,14390,14390,4522
2026-03-23 12:14:00,14390,14390,14380,14380,1503
2026-03-23 12:15:00,14380,14380,14360,14360,982
2026-03-23 12:16:00,14370,14380,14370,14370,1053
2026-03-23 12:17:00,14380,14380,14370,14370,386
2026-03-23 12:18:00,14380,14400,14380,14390,168
2026-03-23 12:19:00,14390,14390,14380,14380,257
2026-03-23 12:20:00,14390,14410,14390,14390,422
2026-03-23 12:21:00,14390,14390,14390,14390,55
